,lemmatized_text
926,rip lola miss sorry di kita nadalaw last day thank everything sa memory sa warm hug sa lahat labyu la 
927,nux hinanap ako yes told ya load uy check fbc grabe sched anyare 
928,still lot tweet delete hand 
929,scurri agile shipping solution available market book free demo retail delivery sme 
930,beautiful get blackfly courgette flower year idea hopefully wont affect fruit 
931,massive shame would actually genuine contender happen 
932,welcome kfcroleplayers enjoy amp let friend 
933,amp already bad day 
934,lmfaoooo 
935,taxi driver thought sophie work nintendo take u gate security guard give u dirtiest look haha 
936,boy snapchattimg happy bc friend ruin say wan na fun 
937,thanks ffback cooder 
938,angry grandpa play minecraft animation minecraft click aqui 
939,one day 
940,phone fell hand woke 
941,happy birthday bro good one 
942,idk think follow gift 
943,thank kind sir 
944,kebun adorable spot ubud wait ladyposse well place xoxoxo 
945,miss jisoo 
946,peanut probably crashed see drive monash 
947,movnat belgium first search yield nothing nbheroes 
948,honest miss dubai dubai miss want come back 
949,morning thank rts lovely day despite weather rain 
950,follow thanks please follow 
951,sigh yeah 
952,diagnose wiv scheuermann disease back bone rlyhurts howdo u georgesampson cant stand da pain p e x 
953,belated birthday wish believe miss mind miss bdays inc bad phone 
954,cant wait 
955,ah found thanks 
956,disgust wish people respect 
957,istanya goingsupply extra infrastructure teacher doctor nurse paramedic amp countless thingscope gt 
958,wish buy bangtan merch 
959,almost get see cute ankle sock 
960,tmhhes theory people say start zayn come back rd july th today im ok 
961,awww kaya yan think positive 
962,nvm lem quiet eat foof 
963,go together like copy amp paste 
964,real life always get way 
965,miss sophie 
966,love coco folk 
967,west country weekend next rid day tuesday sunny weekend around 
968,suck try vitamin e oil massage everyday make healthier easy stretch 
969,info yet announce soon get filbarbarian 
970,well thanks guy sure thing hope ok 
971,wisdom teeth give much ache 
972,unknown feeling 
973,sorry ran friend rough day try stream saturday 
974,make feel bad 
975,follow amp follow u back 
976,work longer really doable drove train awful move agency long story miss everone though r u ok x 
977,see oh hunny u know end line u need friendly ear know say b still stand 
978,luv u p talk looooong time 
979,thanq gooday ff 
980,mean new nex still safe gwd 
981,trop tard 
982,do 
983,ew whose play fifa wow sound like good lineup 
984,real liam payne please follow wait follow back please follow back retweet reply 
985,miss maa ever tell go like without 
986,mom girl give birth 
987,happiness 
988,yep expert bisexuality good luck 
989,capcom cock tease u need beta 
990,bad chanhun already individual photoshoot afterall 
991,actually need stop tweet drive 
992,hello get youth job opportunity follow gt gt 
993,hear guy want arbeloa 
994,kik senight kik kikmeboys gay teen amateur travel hotscratch 
995,stats day arrive new follower unfollowers via 
996,morning thank rts 
997,em haha 
998,exactly unfortunately 
999,amber liquid continue flow almost game time melbournetrip taxikitchen 
1000,baby still look tire 
1001,aew wait rosa love xmas welcome back ann hope u good one back time x 
1002,really sorry hear sophie certainly pas feedback product development team 
1003,love u 
1004,finish mass effect yesterday dont know shoud start mass effect game 
1005,course 
1006,cheer pete listen later 
1007,u change u say change tsk 
1008,imagine news aayegi k timming wiw bips zareen amp daisy b coz timming normal karte hai p 
1009,followfriday top influencers community week 
1010,masaantoday masaantodaya shweta tripathi masaantoday masaantoday 
1011,noooooooooooooooooo thing x 
1012,meh rito pls something 
1013,story life haha look talk 
1014,bad day 
1015,sad true ano yung tbh 
1016,congrads well update page accomplishment keep 
1017,morning 
1018,look beautiful wan na go back 
1019,hiya afraid already picked rider year look next year 
1020,wew ramos ground 
1021,goodnight 
1022,week exam 
1023,sleep 
1024,dat fun last 
1025,startup community tropic geek beach startupph 
1026,happy friday 
1027,loool help 
1028,e l f thank singer kyuhyun thank e l f 
1029,get holiday clothes day like wan na go 
1030,good 
1031,want follow 
1032,ohaha problem thank btw 
1033,ster say bday 
1034,start day tango 
1035,btu give u blaine karaoke 
1036,follow amp follow u back 
1037,thank san wan na change avi usanele 
1038,junjou junjou romantica 
1039,bow bitch queen world 
1040,u probs fun david 
1041,dd leave lagi 
1042,oh miss broadcast 
1043,p thank sweetest amp kindest comet 
1044,hi bam follow bestfriend horan love lot see warsaw lt love lt x 
1045,grande 
1046,follow back thanks please 
1047,bad news laribuggy know one top injured amp medication 
1048,engineer 
1049,finish monday sadly close beta end year 
1050,morning everyone open pm every day sunday hello weekend come say x 
1051,right right always good memory guess 
1052,gosh really bad physic 
1053,hire goodnight sweet dream 
1054,bth kid kaaaa p 
1055,wish happy friday xxx 
1056,lol tough choice tbh really like every song others p 
1057,true disappoint look forward paper town 
1058,sadly show masaan watch muv come hd 
1059,bore 
1060,want bandana bottle set huhuh 
1061,still believe ripped nail 
1062,bonding lovable girl life lt yesha montoya 
1063,shoot tomorrow told team fly even hate unprepared 
1064,inside close container im scar even touch look hairy hahaha 
1065,many tthanks colin 
1066,miss hello venus old concept tbh rly like want tea 
1067,maybe garrus liara rest crew 
1068,snow cold gross ew big mess everyone scrape pile anyway 
1069,move forward happy spirit find thing always work 
1070,excite come really deserves 
1071,babe 
1072,blamehoney leave whhr 
1073,happy birthday malik umair big celebrity canon gangstay bless bro 
1074,end state last night 
1075,sad 
1076,rain even feel like friday gt 
1077,happy friday everyone pm answer query great day abby 
1078,let 
1079,photoset sadomasochistsparadise wynter bottom outtake sadomasochist paradise cuties 
1080,open worldwide 
1081,new video week update face amp brow routine oily skin maricarljanah via 
1082,ifeelyou 
1083,fell asleep guy wan na come starbucks w lol 
1084,ff great weekend 
1085,yayy thanks gohf 
1086,thanks bunch hope get training among hopefully find something 
1087,ive get much thing day syawal 
1088,halesowen blackcountryfair tomorrow follower go come say hello stand high street 
1089,goddess 
1090,thank u 
1091,fab hope 
1092,good idea free stress speculation allows work consistency 
1093,go first lsceens give extra tweet do 
1094,late 
1095,beautiful winter like summer russia 
1096,please notice 
1097,drank 
1098,happiness make 
1099,sleep 
1100,follow amp follow u back 
1101,monte doa header 
1102,lol last night face though people think perpetually piss sad b c rest bitchface 
1103,aww bad 
1104,really sorry receive wrong order would like sort straight away email help co uk 
1105,remember gaon bad infnt eligible apink acube u 
1106,splendour 
1107,thank 
1108,penge bestfriend psygustokita 
1109,havuuuuuloveyouuuuuuuuu 
1110,want ff 
1111,go tell whole world touch 
1112,keep face sun never see shadow 
1113,ff follower let try keepitlocal 
1114,thank follow u betty miller new friend always welcome 
1115,taxi emptier ciara concert 
1116,say sweetpea start hold regular gluten free cake pastry workshop 
1117,ehm close think 
1118,welcometweet hi thanks follow ask follow back via 
1119,konga well ni wa ode ni e k need disvirgined like seriously 
1120,hope help 
1121,give time fam get thing mind 
1122,fabulous time miss xx 
1123,know 
1124,heeeeyyy follow fan account thank 
1125,yeah dude keep calm brace 
1126,yeah next prey poor girl 
1127,u fab therese hahahahaha cred 
1128,soon forgotten people pta 
1129,follback 
1130,fllady ana lovely 
1131,thank lovely weekend xx 
1132,aameen long live pakistan bleedgreen 
1133,someone unfaved 
1134,oh wasnt lunch talk thought start pm 
1135,hate see granddad like 
1136,appreciate weekly update weapon ever way nowhere put one already 
1137,wan na cut k friend threw sleepover party pretend ok like usual 
1138,photo feetblog 
1139,well make week nwb officially today wait till monday start long road walk 
1140,freak humidity think never get use even japanese 
1141,mission bear fail 
1142,mumma im 
1143,reunite one day 
1144,oh good hear ask provide exactly 
1145,complain someone something middle conversation ask go sleep wtf rude 
1146,high low 
1147,use u 
1148,zayn start small letter z 
1149,guy want dick pic want meaningful conversation thing common 
1150,thanks get add student researcher job board 
1151,deal match unless ishii fuck everything 
1152,would know huh look mirror every day 
1153,follow back 
1154,wish good makeup thing im good eyeliner 
1155,ikr hais would someone sell precious thing 
1156,wonderful thing make feel fluffy inside great pirouette moose 
1157,please god wan na go work 
1158,happy day get tkts 
1159,happy birthday love 
1160,go see apparently use gb extra data 
1161,follow amp follow u back 
1162,pleasse 
1163,see possibly elect far much baggage people see want see 
1164,ff wooftastic twoofs hope supa dupa weekend 
1165,sad u loser 
1166,lmao love bernie 
1167,feel well 
1168,stomach part bowel remove nasty disease told tumour kidney 
1169,thanks texting back texting tomorrow 
1170,miss everyone omg school sux 
1171,look arrive today super thanks edwin elvena emc much appreciate 
1172,helpful stop cry 
1173,hungry hungry hungry mom home oh god im die 
1174,appreciate follow heard botanical soap 
1175,huh yes 
1176,want start one make small game feel like need get jump start ask support 
1177,love big juicy selfies 
1178,absolutely true 
1179,madonnamademtv c mon ur turn madonnafamily madonnafans one time let tweet 
1180,miss 
1181,happy weekend everyone smile lot 
1182,p 
1183,sorry 
1184,rain 
1185,hahaha everyone fun story related song get label bad batch principal due p 
1186,oh bed haha sleep though day excite 
1187,wii u bayonetta wonderful really sell poorly 
1188,ouch hurt 
1189,young outlive gt 
1190,yaap urwelc 
1191,inter offer nemanja vidic rom want either 
1192,thanks add u list make sure keep touch news light bulb make corn waste 
1193,aw man get well soon 
1194,im fan p 
